City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Mar Del Plata,AR,2022-08-09 01:47:06,-38.0023,-57.5575,50.09,89,75,5.75,broken clouds
158,Gambela,ET,2022-08-09 01:47:06,8.25,34.5833,69.53,97,100,2.21,moderate rain
159,Tiksi,RU,2022-08-09 01:47:07,71.6872,128.8694,51.3,80,100,9.1,overcast clouds
160,Saldanha,ZA,2022-08-09 01:46:42,-33.0117,17.9442,48.25,83,0,7.14,clear sky
161,Shatrovo,RU,2022-08-09 01:47:07,56.5167,64.6333,64.04,77,6,5.64,clear sky
162,Avera,US,2022-08-09 01:47:07,33.194,-82.5271,80.11,62,100,8.39,overcast clouds
163,Oranjemund,NA,2022-08-09 01:47:08,-28.55,16.4333,54.07,76,13,5.23,few clouds
164,Svetlyy,RU,2022-08-09 01:47:08,54.675,20.1347,53.65,87,60,1.36,broken clouds
165,Tandalti,SD,2022-08-09 01:47:08,13.0167,31.8667,77.45,75,98,5.32,overcast clouds
166,Sao Filipe,CV,2022-08-09 01:47:09,14.8961,-24.4956,78.87,83,46,7.0,scattered clouds
167,Middle Island,US,2022-08-09 01:47:09,40.8843,-72.9373,80.92,86,0,19.57,clear sky
168,Dingle,PH,2022-08-09 01:47:09,10.9995,122.6711,82.58,76,100,2.93,overcast clouds
169,Haines Junction,CA,2022-08-09 01:47:10,60.7522,-137.5108,58.95,55,100,3.44,overcast clouds
170,General Roca,AR,2022-08-09 01:47:10,-39.0333,-67.5833,42.62,73,98,10.11,overcast clouds
171,Dandong,CN,2022-08-09 01:47:10,40.1292,124.3947,70.11,78,100,4.81,light rain
172,Iberia,US,2022-08-09 01:47:11,29.9502,-91.7507,80.67,83,0,3.44,clear sky
173,Kodiak,US,2022-08-09 01:47:11,57.79,-152.4072,56.71,72,100,6.91,overcast clouds
174,Salalah,OM,2022-08-09 01:47:11,17.0151,54.0924,75.29,100,100,4.61,heavy intensity drizzle
175,Uklana Mandi,IN,2022-08-09 01:47:12,29.5023,75.8849,85.48,71,1,8.28,clear sky
176,Victoria,HK,2022-08-09 01:45:29,22.2855,114.1577,83.32,86,100,25.99,overcast clouds
177,Toamasina,MG,2022-08-09 01:47:12,-18.1667,49.3833,66.2,94,75,6.91,broken clouds
178,Marsh Harbour,BS,2022-08-09 01:47:12,26.5412,-77.0636,83.77,76,6,13.18,clear sky
179,Beipiao,CN,2022-08-09 01:47:13,41.7919,120.7792,78.42,48,89,7.54,overcast clouds
180,Fredericton,CA,2022-08-09 01:47:13,45.9454,-66.6656,58.05,92,100,8.05,overcast clouds
181,Longyearbyen,SJ,2022-08-09 01:47:13,78.2186,15.6401,46.24,81,75,10.36,broken clouds
182,Son La,VN,2022-08-09 01:47:14,21.3167,103.9,77.43,82,95,0.85,overcast clouds
183,Ambrolauri,GE,2022-08-09 01:47:14,42.5211,43.1622,63.05,63,0,6.62,clear sky
184,Kushiro,JP,2022-08-09 01:47:14,42.975,144.3747,76.15,94,75,3.44,light intensity shower rain
185,Peachland,CA,2022-08-09 01:45:41,49.7665,-119.7357,95.85,26,0,1.99,clear sky
186,Banyo,CM,2022-08-09 01:47:15,6.75,11.8167,63.07,96,100,1.14,overcast clouds
187,Asyut,EG,2022-08-09 01:47:15,27.181,31.1837,82.58,31,2,6.76,clear sky
188,Dunedin,NZ,2022-08-09 01:47:16,-45.8742,170.5036,43.81,64,86,10.0,overcast clouds
189,Dasoguz,TM,2022-08-09 01:47:16,41.8363,59.9666,73.35,46,0,4.61,clear sky
190,Shache,CN,2022-08-09 01:47:17,38.4167,77.2406,80.33,42,83,2.64,broken clouds
191,Moron,AR,2022-08-09 01:47:17,-34.6534,-58.6198,52.97,78,100,8.37,light rain
192,Monte Alegre,BR,2022-08-09 01:47:17,-2.0078,-54.0692,77.27,70,100,3.42,overcast clouds
193,Faya,SA,2022-08-09 01:47:18,18.3851,42.4509,64.51,86,91,4.88,overcast clouds
194,Araouane,ML,2022-08-09 01:47:18,18.9048,-3.5265,98.28,14,69,4.97,broken clouds
195,Saint-Francois,FR,2022-08-09 01:47:18,46.4154,3.9054,58.68,76,0,3.44,clear sky
196,Chara,RU,2022-08-09 01:47:19,56.9064,118.2631,51.66,75,100,6.04,overcast clouds
197,Kaitong,CN,2022-08-09 01:47:19,44.8135,123.15,76.26,43,0,11.18,clear sky
198,Sao Felix Do Xingu,BR,2022-08-09 01:47:19,-6.6447,-51.995,80.01,38,87,2.13,overcast clouds
199,Iquitos,PE,2022-08-09 01:47:20,-3.7481,-73.2472,75.24,94,75,5.75,heavy intensity rain
200,Saint-Georges,GD,2022-08-09 01:47:20,12.0564,-61.7485,82.08,78,20,11.5,few clouds
201,Mahbubabad,IN,2022-08-09 01:47:20,17.6167,80.0167,73.96,94,100,11.68,overcast clouds
202,Rio Grande,BR,2022-08-09 01:47:21,-32.035,-52.0986,53.94,80,38,13.89,scattered clouds
203,Hasaki,JP,2022-08-09 01:47:21,35.7333,140.8333,93.29,72,96,23.82,overcast clouds
204,Cambridge,CA,2022-08-09 01:44:49,43.3601,-80.3127,75.15,95,100,14.97,overcast clouds
205,Jiangkou,CN,2022-08-09 01:47:22,25.4872,119.1986,86.32,66,0,3.91,clear sky
206,Puquio,PE,2022-08-09 01:47:22,-14.7,-74.1333,47.17,53,4,2.55,clear sky
207,Nikolskoye,RU,2022-08-09 01:47:22,59.7035,30.7861,54.88,96,71,0.22,broken clouds
208,Geraldton,AU,2022-08-09 01:47:23,-28.7667,114.6,52.21,87,75,21.85,shower rain
209,Priargunsk,RU,2022-08-09 01:47:23,50.3691,119.1012,67.51,39,0,19.1,clear sky
210,Makokou,GA,2022-08-09 01:47:23,0.5738,12.8642,68.18,91,84,3.27,broken clouds
211,Bud,US,2022-08-09 01:47:24,39.447,-86.1758,82.42,81,1,7.43,clear sky
212,Bambous Virieux,MU,2022-08-09 01:47:24,-20.3428,57.7575,70.05,78,40,11.5,light rain
213,Bathsheba,BB,2022-08-09 01:47:24,13.2167,-59.5167,81.21,89,75,13.8,broken clouds
214,Ribeira Grande,PT,2022-08-09 01:45:14,38.5167,-28.7,74.08,78,3,11.81,clear sky
215,Ilulissat,GL,2022-08-09 01:47:25,69.2167,-51.1,41.02,93,75,10.36,light intensity shower rain
216,Auki,SB,2022-08-09 01:47:25,-8.7676,160.7034,85.24,66,28,3.83,scattered clouds
217,Buin,CL,2022-08-09 01:47:25,-33.7333,-70.75,51.12,46,0,4.54,clear sky
218,Vanimo,PG,2022-08-09 01:47:26,-2.6741,141.3028,83.28,71,100,7.92,overcast clouds
219,Huanren,CN,2022-08-09 01:47:26,41.2647,125.3667,69.22,74,100,1.01,overcast clouds
220,Huarmey,PE,2022-08-09 01:47:27,-10.0681,-78.1522,62.28,84,24,9.53,few clouds
221,Isangel,VU,2022-08-09 01:47:27,-19.55,169.2667,76.78,78,62,11.54,broken clouds
222,Meulaboh,ID,2022-08-09 01:47:27,4.1363,96.1285,79.21,76,99,3.96,overcast clouds
